Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Harrison Endycott,42,-,MC,64,MC,-,33,MC^^,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,12,5700,Further details,400/1,Bet 365,Further details
Patrick Fishburn,42,-,MC,MC,MC,-,23,4^^,MC,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,200/1,Bet 365,Further details
Sami Valimaki,MC,54,45,-,-,-,-,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,150/1,Bet 365,Further details
Vincent Norrman,-,MC,-,83,45,-,-,39^^,MC,-,MC,70,-,-,-,-,-,-,-,-,-,-,-,MC,5600,Further details,200/1,Bet 365,Further details
Henrik Norlander,15,-,-,MC,MC^,-,36,19^^,64,20,-,-,-,-,-,MC,-,-,59,-,-,-,MC,72,5600,Further details,250/1,Bet 365,Further details
Kevin Dougherty,MC,-,45,45,MC,-,MC,MC^^,30,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,200/1,Bet 365,Further details
Aaron Baddeley,23,MC,17,82,39,-,-,-,41,MC,-,-,-,-,-,9,MC,MC,-,-,65,-,-,MC,5600,Further details,225/1,Bet 365,Further details
Stewart Cink,7^,-,33,MC,39,-,-,35^,MC,3^,-,9^,-,-,-,-,34,5,MC,62,37,-,-,-,5600,Further details,200/1,Bet 365,Further details
Nicolas Echavarria,15,MC,MC,-,MC,-,14,4^^,24,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,300/1,Bet 365,Further details
Rafael Campos,18,-,MC,MC,MC,-,14,38^^,9,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,300/1,Bet 365,Further details
Hayden Buckley,-,MC,61,MC,MC,-,MC,MC^^,52,59,-,5,-,-,-,-,-,-,-,-,-,-,MC,-,5500,Further details,250/1,Bet 365,Further details
Callum Tarren,-,MC,72,69,MC,-,23,11^^,MC,MC,-,70,-,-,-,-,-,-,-,-,-,-,MC,43,5500,Further details,350/1,Bet 365,Further details
Stuart Macdonald,MC^,-,-,3^,-,-,MC^,1^,32^,-,MC^,-,-,-,-,-,-,-,-,-,-,-,MC,57,5500,Further details,350/1,Bet 365,Further details
Alistair Docherty,MC^,-,-,-,34^,-,20^,-,-,2,36^,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,Further details,250/1,Bet 365,Further details
Joe Highsmith,6,-,MC,21,51,-,MC,MC^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,Further details,250/1,Bet 365,Further details
Adrien Dumont de Chassart,6,-,MC,81,MC,-,23,MC^^,30,40,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5500,Further details,250/1,Bet 365,Further details
