,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,2023 DraftKings,2023 Odds,Bookmaker,2023 Result
Sam Burns,10,72.18,-,-,-,-,-,41,-,-,-,29,-,-,-,-,-,-,-,MC,76,MC,20,27,42,29,MC,8200,60/1,Bet 365,32
Adam Schenk,3,72.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,24,-,-,MC,6800,250/1,Bet 365,MC
Cameron Davis,5,72.20,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-,59,-,-,46,48,-,-,-,4,7200,125/1,Bet 365,MC
Seamus Power,6,72.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,9,12,MC,46,MC,7300,200/1,Bet 365,MC
Taylor Pendrith,3,72.20,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,MC,-,-,-,-,-,-,29,6900,350/1,Bet 365,MC
Tyrrell Hatton,25,72.22,MC,MC,MC,MC,44,6,51,10,56,48,21,6,MC,MC,MC,18,38,MC,MC,52,13,56,11,34,15,8900,30/1,Bet 365,27
Keith Mitchell,10,72.23,-,-,-,-,-,-,-,-,43,MC,MC,MC,43,-,-,-,-,-,MC,-,34,-,MC,53,58,7300,125/1,Bet 365,20
Joaquin Niemann,17,72.25,-,MC,-,-,MC,-,-,71,-,MC,-,MC,MC,23,-,40,30,31,59,35,23,47,53,16,MC,7700,80/1,Bet 365,32
Kurt Kitayama,10,72.25,-,-,-,-,-,-,-,-,-,64,-,MC,51,MC,-,-,MC,-,MC,-,-,MC,72,MC,4,6800,175/1,Bet 365,MC
Sungjae Im,15,72.26,-,-,-,-,-,MC,-,42,-,MC,-,MC,MC,22,2,MC,17,35,-,8,-,MC,81,16,MC,8400,55/1,Bet 365,MC
Nick Taylor,5,72.29,-,-,-,-,-,-,-,-,-,-,43,-,MC,-,29,-,-,-,-,-,-,MC,-,-,MC,7300,175/1,Bet 365,MC
Luke List,12,72.31,-,-,-,MC,-,MC,39,MC,-,6,MC,MC,51,-,-,-,-,-,-,MC,41,MC,MC,-,-,7000,400/1,Bet 365,MC
Adrian Meronk,4,72.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,42,MC,40,6700,200/1,Bet 365,MC
Siwoo Kim,24,72.39,MC,13,MC,WD,24,MC,67,MC,21,MC,MC,MC,13,MC,34,12,MC,40,-,39,60,MC,15,29,MC,7300,66/1,Bet 365,39
Tom Hoge,10,72.41,-,-,-,-,-,-,-,-,-,-,43,-,58,-,-,-,64,46,-,39,9,MC,MC,MC,58,7200,200/1,Bet 365,MC
Thomas Pieters,18,72.47,4,MC,44,MC,MC,-,28,6,-,23,MC,67,-,23,-,-,MC,-,-,MC,71,27,28,48,40,6800,250/1,Bet 365,MC
Alexander Noren,20,72.50,MC,MC,6,67,MC,25,17,MC,62,54,MC,11,22,17,-,-,55,-,MC,-,MC,MC,-,MC,MC,7400,250/1,Bet 365,MC
Barclay Brown,1,72.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,-,-,6000,2500/1,Bet 365,MC
Billy Horschel,22,72.53,-,MC,MC,48,MC,-,-,35,56,23,32,MC,43,38,38,50,23,MC,53,43,68,MC,21,52,MC,7100,350/1,Bet 365,43
