Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Jarred Jeter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,TBC,Bet 365,Further details
Kris Kim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,TBC,Bet 365,Further details
Benjamin Taylor,MC,-,MC,MC,-,MC,MC,MC,MC,-,-,37^^,-,-,-,-,-,-,-,-,-,MC,-,-,6000,Further details,1000/1,Bet 365,Further details
Brandt Snedeker,MC,-,MC,MC,MC,-,MC,MC,72,-,-,40^^,-,-,-,MC,6,MC,MC,MC,-,17,MC,-,6000,Further details,1000/1,Bet 365,Further details
"Blaine Hale, Jr.",-,-,MC,-,MC,-,MC,MC,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details
Raul Pereda,-,-,MC,MC^,42,-,MC,78,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,1500/1,Bet 365,Further details
David Nyfjall,-,MC^,39^,42^,-,-,-,-,-,29^,6^,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,600/1,Bet 365,Further details
Cody Gribble,MC^,-,-,-,23,-,-,MC,-,-,MC,-,-,-,-,-,78,-,MC,32,MC,-,-,MC,6000,Further details,1000/1,Bet 365,Further details
Richy Werenski,3^,-,-,-,18,-,MC,MC,MC^,-,59,-,-,-,-,-,-,-,MC,MC,-,-,MC,11,-,Further details,TBC,Bet 365,Further details
Scott Piercy,MC^,-,MC,-,42,-,-,-,32^,-,59,28^^,-,15,5,-,WD,MC,20,32,2,MC,MC,19,-,Further details,TBC,Bet 365,Further details
Tommy Gainey,MC^,-,-,MC^,32,-,-,-,14^,-,MC,-,-,MC,MC,MC,-,-,-,MC,-,-,-,34,-,Further details,TBC,Bet 365,Further details
Jim Herman,-,-,-,-,49,-,-,-,-,-,MC,-,-,-,MC,73,73,-,-,-,MC,-,MC,70,-,Further details,TBC,Bet 365,Further details
Seung-yul Noh,51^,-,-,-,32,-,-,-,MC^,-,14^,-,-,69,70,-,-,MC,MC,-,-,-,MC,74,-,Further details,TBC,Bet 365,Further details
MJ Daffue,-,-,65,-,MC,-,-,-,-,-,MC,MC^^,-,-,-,-,-,-,-,-,-,MC,-,MC,-,Further details,TBC,Bet 365,Further details
Paul Haley II,-,-,-,-,58,-,-,-,-,-,MC,MC^^,-,MC,MC,-,-,-,-,-,-,-,-,MC,-,Further details,TBC,Bet 365,Further details
