Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
JeongWeon Ko,11,68,-,-,24,34,-,-,MC,MC,64,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6300,Further details,400/1,Bet 365,Further details
Paul Barjon,4^^,MC,54,-,-,MC,-,-,-,MC,MC,67,-,-,-,-,-,-,-,-,-,54,MC,-,6200,Further details,400/1,Bet 365,Further details
Austin Cook,MC^^,20,MC,-,-,MC,MC^,-,-,-,MC,MC,-,-,-,279,-,-,-,-,53,15,60,60,6200,Further details,400/1,Bet 365,Further details
Hurly Long,MC,50,-,-,MC,MC,51,-,WD,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,7,-,6200,Further details,750/1,Bet 365,Further details
Jordan Gumberg,MC,-,MC,-,57,MC,59,-,MC,MC,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,500/1,Bet 365,Further details
Lorenzo Filipo Scalise,60,23,-,-,MC,MC,-,-,MC,63,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,750/1,Bet 365,Further details
Alexander Knappe,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6200,Further details,750/1,Bet 365,Further details
Clement Sordet,MC,13,-,-,-,MC,29,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6200,Further details,750/1,Bet 365,Further details
Ryan Brehm,3^^,MC,MC,-,-,MC,-,-,-,MC,MC,MC,-,-,-,-,-,48,-,-,MC,23,-,MC,6200,Further details,750/1,Bet 365,Further details
Tyson Alexander,MC^^,52,MC,-,MC,MC,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6200,Further details,400/1,Bet 365,Further details
Kevin Chappell,MC^^,30,MC,-,-,MC,MC^,-,-,-,61,25,-,-,34,-,-,-,-,-,-,-,55,44,6100,Further details,175/1,Bet 365,Further details
Ricardo Gouveia,MC,23,-,-,WD,MC,-,-,MC,MC,MC,37,-,-,-,-,-,-,-,-,-,-,MC,-,6100,Further details,1000/1,Bet 365,Further details
Brandt Snedeker,40^^,48,MC,-,MC,MC,MC,-,-,MC,MC,53,-,-,-,-,-,-,-,-,-,MC,-,MC,6100,Further details,750/1,Bet 365,Further details
Mitchell Schow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,2000/1,Bet 365,Further details
Pat Steffes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,TBC,Bet 365,Further details
Erik Barnes,MC^^,MC,MC,-,MC,65,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details
Espen Kofstad,MC,-,-,-,MC,49,-,-,60,WD,-,MC,-,-,-,-,-,-,-,-,-,-,16,-,6100,Further details,750/1,Bet 365,Further details
Santiago Tarrio Ben,MC,17,-,-,34,64,20,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6100,Further details,500/1,Bet 365,Further details
Sunghoon Kang,-,41,-,MC^,MC^,-,-,MC,-,-,-,MC,-,-,-,-,MC,-,-,-,-,MC,70,MC,6100,Further details,600/1,Bet 365,Further details
Ian Gilligan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,150/1,Bet 365,Further details
Patrick Newcomb,12^,32^,-,16^,MC^,MC^,-,-,-,68^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,1000/1,Bet 365,Further details
Tim Wilkinson,-,-,-,-,-,-,-,MC^,70^,MC,-,-,-,-,8,147,44,MC,-,-,41,-,-,-,6000,Further details,1000/1,Bet 365,Further details
Barclay Brown,-,-,-,-,-,-,-,-,MC^,-,-,24^,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,500/1,Bet 365,Further details
Chase Hanna,MC,MC,-,MC^,MC,MC,MC,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,55,6000,Further details,1000/1,Bet 365,Further details
"Blaine Hale, Jr.",MC^^,MC,MC,-,-,-,-,-,-,44,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,400/1,Bet 365,Further details
Gunner Wiebe,MC,65,-,-,57,MC,MC,-,44,10,40,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,1000/1,Bet 365,Further details
Oliver Wilson,-,-,-,-,-,MC,46,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,750/1,Bet 365,Further details
Raul Pereda,MC^^,MC,MC,-,MC^,MC,60^,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,1000/1,Bet 365,Further details
Bill Haas,-,MC,MC,-,-,-,6^,MC^,-,-,52,64,-,-,-,-,-,-,MC,61,MC,27,26,-,-,Further details,250/1,Bet 365,Further details
Baron Szeto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,1000/1,Bet 365,Further details
Beau Forest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,1000/1,Bet 365,Further details
Corey Pereira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,Further details,500/1,Bet 365,Further details
Sangmoon Bae,MC^^,-,-,-,-,-,2^,-,10^,-,-,-,-,-,-,-,-,-,-,51,35,69,-,-,-,Further details,150/1,Bet 365,Further details
Nick Watney,11^^,MC,MC,-,-,-,-,-,-,-,MC,MC,-,-,8,-,-,MC,-,-,MC,43,MC,MC,-,Further details,2000/1,Bet 365,Further details
Sean O'Hair,37^^,-,61,-,-,27,MC^,-,-,MC^,MC,MC,-,-,-,-,-,-,-,-,-,9,MC,MC,-,Further details,350/1,Bet 365,Further details
