player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc
Marcel Schneider,-0.481,-0.133,-0.167,-0.07,-0.112,-3.964,0.001
Vincent Norrman,-0.488,0.251,0.04,-0.218,-0.56,10.112,-0.019
Ricardo Gouveia,-0.488,-0.073,-0.069,-0.18,-0.167,-2.577,0.003
Bubba Watson,-0.494,0.358,-0.459,-0.238,-0.155,7.885,0.007
Harry Higgs,-0.501,0.196,-0.449,-0.172,-0.075,5.587,-0.025
Marcus Armitage,-0.508,-0.3,0.088,0.054,-0.35,-3.701,-0.028
Edoardo Molinari,-0.508,-0.146,-0.295,-0.01,-0.057,-10.994,0.035
Cameron Champ,-0.511,0.542,-0.536,-0.414,-0.102,17.387,-0.021
Danny Willett,-0.533,-0.35,-0.375,0.156,0.037,-5.105,-0.019
Zac Blair,-0.538,-0.441,-0.005,0.067,-0.159,-18.021,0.056
Jens Dantorp,-0.543,-0.161,-0.29,-0.153,0.061,-8.165,0.025
Ivan Cantero Gutierrez,-0.551,0.179,-0.381,-0.061,-0.288,12.642,-0.08
Matt Jones,-0.554,-0.261,-0.28,-0.001,-0.011,-1.198,-0.041
Angel Hidalgo,-0.555,0.014,-0.33,0.04,-0.279,-4.097,0.017
Sam Horsfield,-0.56,-0.259,-0.205,-0.141,0.044,1.709,-0.029
Will Gordon,-0.561,0.153,-0.179,-0.192,-0.343,8.007,-0.02
Nick Dunlap,-0.565,-1.026,0.067,0.089,0.304,1.61,-0.107
Matthew Wolff,-0.583,0.214,-0.329,-0.166,-0.302,16.139,-0.057
Russell Knox,-0.586,-0.439,0.054,0.012,-0.214,-13.165,0.016
Tom Vaillant,-0.591,0.037,-0.411,-0.091,-0.126,1.432,-0.001
Ben Campbell,-0.594,-0.609,-0.247,-0.118,0.38,-18.775,0.036
Kevin Streelman,-0.596,-0.173,-0.158,-0.048,-0.216,-6.185,0.017
Joe Dean,-0.61,0.01,-0.227,-0.198,-0.196,4.444,-0.017
Sean Crocker,-0.615,-0.074,-0.127,-0.204,-0.211,2.944,-0.021
Zecheng Dou,-0.622,-0.145,-0.238,-0.045,-0.194,3.669,-0.05
Fabrizio Zanotti,-0.622,0.12,-0.23,-0.187,-0.325,-6.288,0.072
Casey Jarvis,-0.626,-0.086,-0.036,-0.183,-0.321,1.939,-0.022
Scott Jamieson,-0.63,-0.194,-0.35,-0.078,-0.008,-1.707,-0.004
Brandt Snedeker,-0.63,-0.47,-0.474,0.029,0.285,-17.741,0.063
Jeong Weon Ko,-0.638,-0.197,-0.434,-0.009,0.003,-0.705,-0.04
Josh Teater,-0.652,0.059,-0.124,-0.14,-0.446,-2.468,0.012
Francesco Molinari,-0.653,-0.21,-0.02,-0.202,-0.222,-9.824,0.052
Gavin Green,-0.659,-0.242,-0.249,-0.212,0.043,-0.684,-0.019
Kevin Dougherty,-0.668,0.42,-0.504,-0.237,-0.348,16.712,-0.058
Ryan Moore,-0.672,-0.278,-0.026,0.006,-0.374,-14.353,0.078
Ignacio Elvira Mijares,-0.676,-0.487,-0.276,-0.059,0.145,-7.511,-0.022
Matt NeSmith,-0.687,-0.165,-0.273,-0.128,-0.121,-3.416,0.019
Jason Scrivener,-0.697,-0.359,-0.383,-0.121,0.166,-10.804,0.018
Tom Whitney,-0.702,-0.025,-0.031,-0.209,-0.437,-4.06,0.018
Henrik Stenson,-0.704,0.158,0.012,-0.155,-0.72,-10.491,0.113
Chieh-Po Lee,-0.705,0.118,-0.38,0.04,-0.483,-5.376,0.035
Matthew Southgate,-0.707,0.226,-0.351,-0.288,-0.294,-3.825,0.053
David Ravetto,-0.71,0.157,-0.597,-0.137,-0.132,5.925,-0.017
Marcel Siem,-0.711,-0.087,-0.201,-0.048,-0.375,-0.904,-0.018
Yannik Paul,-0.712,-0.322,-0.253,-0.08,-0.056,-2.414,-0.019
Ben Taylor,-0.712,-0.527,-0.404,0.114,0.105,-3.412,-0.039
Stewart Cink,-0.719,-0.324,-0.346,0.075,-0.124,-1.718,-0.024
Dan Bradbury,-0.723,0.143,-0.262,-0.315,-0.289,-0.073,0.031
Taylor Montgomery,-0.724,-0.907,-0.58,0.175,0.588,-4.778,-0.093
Kevin Tway,-0.738,-0.173,-0.612,-0.032,0.08,3.281,-0.038
Jeff Winther,-0.76,-0.533,-0.283,-0.183,0.239,-14.968,0.025
Aaron Cockerill,-0.765,-0.475,-0.519,-0.047,0.276,-6.402,-0.021
Nicolai Von Dellingshausen,-0.775,-0.162,-0.406,-0.146,-0.061,0.255,-0.028
Lukas Nemecz,-0.779,-0.17,-0.202,-0.06,-0.346,-7.105,0.023
Shubhankar Sharma,-0.782,-0.334,-0.17,-0.375,0.097,-7.058,0.019
Tapio Pulkkanen,-0.788,-0.259,-0.529,-0.004,0.004,4.478,-0.062
Jinichiro Kozuma,-0.794,-0.193,-0.534,0.016,-0.084,-0.961,-0.024
Marcus Kinhult,-0.796,-0.328,-0.435,-0.152,0.119,-5.626,-0.002
Kevin Chappell,-0.796,-0.248,-0.277,-0.084,-0.187,-0.439,-0.03
Max Rottluff,-0.81,-0.137,-0.447,-0.154,-0.071,2.279,-0.036
Trevor Cone,-0.81,0.195,-0.27,-0.303,-0.432,10.68,-0.046
Callum Shinkwin,-0.811,0.216,-0.604,-0.282,-0.141,5.37,-0.027
Filippo Celli,-0.817,-0.069,-0.347,-0.274,-0.127,2.414,-0.022
Pablo Larrazabal,-0.82,-0.453,-0.317,-0.03,-0.019,-8.715,-0.013
Martin Laird,-0.821,-0.507,-0.475,0.169,-0.008,-9.867,0.014
Maximilian Kieffer,-0.836,0.018,-0.427,-0.184,-0.242,-7.503,0.065
Hayden Buckley,-0.836,0.115,-0.164,-0.369,-0.418,-1.03,0.033
David Lipsky,-0.858,-0.46,-0.105,0.045,-0.338,-11.258,0.02
David Micheluzzi,-0.86,-0.341,-0.696,-0.09,0.267,-0.949,-0.04
Trace Crowe,-0.882,-0.389,-0.367,-0.02,-0.106,1.63,-0.05
Brandon Wu,-0.882,-0.806,-0.207,0.103,0.027,-10.876,-0.029
James Hahn,-0.888,-0.137,-0.503,-0.204,-0.044,-3.38,0.008
Padraig Harrington,-0.895,-0.18,-0.173,-0.057,-0.485,-1.957,-0.014
Kiradech Aphibarnrat,-0.901,-0.365,-0.608,-0.013,0.085,-6.754,-0.018
Chez Reavie,-0.905,-0.437,-0.111,-0.115,-0.243,-15.013,0.058
Eddie Pepperell,-0.914,-0.588,-0.235,-0.12,0.029,-19.462,0.061
Kelly Kraft,-0.923,-0.52,-0.204,-0.263,0.064,-13.852,0.041
Luis Masaveu,-0.926,0.093,-0.625,-0.117,-0.276,7.301,-0.043
Grant Forrest,-0.927,-0.048,-0.488,-0.161,-0.23,8.169,-0.058
Camilo Villegas,-0.936,-0.669,-0.167,0.09,-0.189,-10.833,-0.033
Ian Poulter,-0.948,-0.452,-0.309,0.061,-0.248,-10.982,0.011
Manuel Elvira,-0.957,0.023,-0.435,-0.313,-0.231,1.659,-0.023
JC Ritchie,-0.957,-0.167,-0.336,-0.14,-0.314,-2.607,-0.001
Deon Germishuys,-0.976,-0.228,-0.488,-0.229,-0.031,-10.825,0.034
Paul Waring,-0.981,-0.189,-0.126,-0.253,-0.413,-0.863,-0.012
Tyson Alexander,-0.99,-0.641,-0.495,0.057,0.089,0.223,-0.074
Andrew Wilson,-1.001,-0.197,-0.403,-0.208,-0.193,-3.654,0.009
Jordan Gumberg,-1.013,0.205,-0.516,-0.402,-0.299,-4.282,0.057
Danny Lee,-1.013,-0.598,-0.125,-0.118,-0.171,-8.693,-0.003
Austin Cook,-1.026,-0.518,-0.452,0.084,-0.14,-14.717,0.025
Troy Merritt,-1.031,-0.271,-0.29,-0.049,-0.421,-7.295,0.023
David Skinns,-1.034,-0.57,-0.224,-0.098,-0.142,1.351,-0.079
Mikko Korhonen,-1.047,-0.234,-0.35,-0.166,-0.297,-9.739,0.06
Martin Kaymer,-1.051,-0.638,-0.098,-0.186,-0.13,-11.396,-0.005
