Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Jim Herman,-,-,-,-,MC,-,-,-,-,-,-,-,-,67,-,-,MC,-,-,-,MC,-,-,-,5200,Further details,2500/1,Bet 365,Further details
Logan McAllister,-,-,MC^,-,69^,-,-,-,MC^,MC^,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,2000/1,Bet 365,Further details
Stewart Hagestad,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,-,-,64,-,5200,Further details,2000/1,Bet 365,Further details
Carson Schaake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,5100,Further details,2500/1,Bet 365,Further details
Chris Naegel,-,-,-,-,MC^,-,-,-,20^,48^,14^,-,-,-,-,-,-,-,56,-,-,-,56,-,5100,Further details,2500/1,Bet 365,Further details
Hiroshi Tai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,3000/1,Bet 365,Further details
Jackson Buchanan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,2500/1,Bet 365,Further details
Michael McGowan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,4000/1,Bet 365,Further details
Omar Morales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,5100,Further details,2500/1,Bet 365,Further details
Parker Bell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,3000/1,Bet 365,Further details
Wells Williams,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,2000/1,Bet 365,Further details
Brendan Valdes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,5100,Further details,1500/1,Bet 365,Further details
Andrew Svoboda,-,-,-,-,-,-,-,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,5000,Further details,2500/1,Bet 365,Further details
Ashton McCulloch,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,2500/1,Bet 365,Further details
Bryan Kim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,3000/1,Bet 365,Further details
Charles Reiter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,5000,Further details,4000/1,Bet 365,Further details
Colin Prater,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Gunnar Broin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,3000/1,Bet 365,Further details
Joey Vrzich,-,3^,-,-,19^,18^,-,-,45^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,2500/1,Bet 365,Further details
John Chin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Willie Mack III,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,2500/1,Bet 365,Further details
Otto Black,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Maxwell Moldovan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,65,5000,Further details,1500/1,Bet 365,Further details
