Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Robert Streb,-,-,53^,-,MC^,60^,10^,MC^,39^,-,-,MC^,-,34,MC,MC,11,MC,6200,Further details,TBC,Bet 365,Further details
Benjamin Taylor,MC,MC,-,MC,MC,-,-,-,MC,46,6,50,-,-,MC,MC,-,71,6100,Further details,1000/1,Bet 365,Further details
Anders Albertson,-,63,-,-,-,-,-,-,MC,MC,-,-,-,82,-,-,-,-,6100,Further details,1000/1,Bet 365,Further details
Bill Haas,MC,MC,-,-,-,6^,MC^,-,-,52,64,MC,-,74,58,MC,MC,-,6100,Further details,750/1,Bet 365,Further details
Paul Barjon,MC,54,-,-,MC,-,-,-,MC,MC,67,MC,-,-,-,-,31,-,6100,Further details,1000/1,Bet 365,Further details
Rafael Campos,9,MC,-,MC,MC,-,-,-,MC,MC,MC,MC,-,-,-,MC,-,-,6100,Further details,750/1,Bet 365,Further details
Tom Whitney,66,MC,-,MC,MC,-,-,-,MC,MC,MC,MC,-,-,-,-,-,-,6100,Further details,750/1,Bet 365,Further details
Wesley Bryan,MC,MC,-,MC,MC,-,-,-,67,MC,MC,MC,-,-,-,-,MC,-,6100,Further details,600/1,Bet 365,Further details
Sean O'Hair,-,61,-,-,27,MC^,-,-,MC^,MC,MC,33,-,-,-,MC,MC,MC,6100,Further details,750/1,Bet 365,Further details
Austin Cook,20,MC,-,-,MC,MC^,-,-,-,MC,MC,MC,-,MC,56,MC,MC,MC,6100,Further details,1000/1,Bet 365,Further details
Martin Trainer,MC,61,-,MC,MC,-,-,-,MC,MC,MC,MC,-,MC,MC,58,MC,MC,6100,Further details,1000/1,Bet 365,Further details
William McGirt,-,63,-,32^,MC^,MC^,-,-,-,-,25,-,-,-,-,-,-,-,6100,Further details,TBC,Bet 365,Further details
Cooper Musselman,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,6100,Further details,TBC,Bet 365,Further details
Scott Gutschewski,MC,MC,-,-,MC,-,-,-,MC,61,MC,64,-,-,-,-,31,-,6000,Further details,1000/1,Bet 365,Further details
Braden Shattuck,-,MC,72,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details
Jeff Sorenson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6000,Further details,2500/1,Bet 365,Further details
Kevin Kisner,MC,MC,-,65,MC,-,-,-,MC,MC,64,-,-,-,-,-,-,-,6000,Further details,1500/1,Bet 365,Further details
"Blaine Hale, Jr.",MC,MC,-,-,-,-,-,-,44,52,MC,MC,-,-,-,-,-,-,6000,Further details,1500/1,Bet 365,Further details
Erik Barnes,MC,MC,-,MC,65,-,-,-,MC,MC,MC,MC,-,-,-,-,-,-,6000,Further details,1500/1,Bet 365,Further details
Josh Teater,MC,MC,-,MC^,MC,MC^,-,-,MC,MC,MC,MC,-,MC,56,65,-,-,6000,Further details,1500/1,Bet 365,Further details
Raul Pereda,MC,MC,-,MC^,MC,60^,-,-,MC,MC,MC,MC,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details
Ryan Brehm,MC,MC,-,-,MC,-,-,-,MC,MC,MC,56,-,-,MC,51,31,MC,6000,Further details,1500/1,Bet 365,Further details
Nick Watney,MC,MC,-,-,-,-,-,-,-,MC,MC,63,-,MC,12,34,MC,MC,6000,Further details,2500/1,Bet 365,Further details
Russell Knox,-,MC,46^,64^,19^,-,-,MC^,26^,MC,37,50^,-,-,MC,MC,-,53,6000,Further details,200/1,Bet 365,Further details
Anthony Maccaglia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,TBC,Bet 365,Further details
Jackson Markham,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,TBC,Bet 365,Further details
