,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,2023 DraftKings,2023 Odds,Bookmaker,2023 Result
Francesco Molinari,23,71.53,33,MC,MC,2,20,25,1,6,5,48,16,11,-,-,MC,52,-,13,MC,MC,55,MC,15,MC,MC,MC,6300,400/1,Bet 365,MC
Jordan L Smith,7,71.55,-,-,-,9,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,47,-,MC,20,6800,225/1,Bet 365,41
Thriston Lawrence,3,71.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,62,MC,6200,450/1,Bet 365,74
Bryson DeChambeau,24,71.63,-,MC,MC,33,38,25,51,MC,29,MC,35,MC,4,1,34,46,38,26,33,MC,-,56,8,MC,4,20,8800,55/1,Bet 365,60
Sahith Theegala,6,71.65,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,34,9,40,27,7500,150/1,Bet 365,MC
Trey Mullinax,4,71.67,-,9,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,MC,-,6000,1000/1,Bet 365,MC
Adam Scott,26,71.67,9,MC,22,61,32,MC,17,3,18,8,7,MC,22,38,34,54,MC,35,46,48,MC,14,15,39,29,MC,7900,66/1,Bet 365,33
Tom Kim,7,71.68,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,23,47,16,MC,8,8100,45/1,Bet 365,2
Russell Henley,19,71.69,11,27,37,71,15,25,MC,50,-,-,-,-,37,-,-,-,71,13,MC,30,60,MC,62,4,MC,14,7400,100/1,Bet 365,MC
Jason Day,22,71.78,22,MC,27,9,20,MC,17,19,5,23,21,MC,4,38,MC,MC,44,-,MC,-,55,-,-,39,MC,MC,7800,80/1,Bet 365,2
Guido Migliozzi,5,71.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,MC,MC,-,14,MC,-,-,-,6400,500/1,Bet 365,64
Joost Luiten,6,71.80,-,-,44,MC,-,-,-,-,-,64,-,32,51,-,-,-,-,-,MC,-,-,-,-,-,-,-,6200,350/1,Bet 365,71
Andrew Putnam,10,71.81,-,-,-,-,-,-,-,59,-,78,43,32,MC,WD,MC,-,-,-,-,-,-,31,-,-,MC,43,6500,450/1,Bet 365,55
Henrik Stenson,21,71.83,MC,MC,11,13,5,6,35,MC,36,48,9,20,MC,MC,MC,38,64,MC,MC,-,MC,-,MC,-,-,-,6200,300/1,Bet 365,13
Brian Harman,22,71.83,-,2,MC,13,44,36,MC,71,-,MC,-,MC,58,38,-,12,MC,19,19,MC,34,43,6,MC,MC,43,7300,110/1,Bet 365,1
Corey Conners,18,71.83,-,MC,-,-,-,-,-,-,46,64,-,MC,MC,MC,10,8,17,MC,15,6,MC,MC,28,MC,12,MC,7700,80/1,Bet 365,52
Harris English,13,71.85,-,46,-,-,-,-,-,-,-,-,58,-,19,4,-,21,64,3,46,-,-,61,MC,43,MC,8,7400,200/1,Bet 365,MC
Abraham Ancer,17,71.90,-,-,-,-,-,-,MC,-,-,16,49,MC,43,56,13,26,8,MC,59,MC,9,-,11,39,MC,54,7300,400/1,Bet 365,49
