Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2025 Odds,Bookmaker,New Account Offer
Matt Wallace,-,-,45,MC,-,44,-,MC,MC,26,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,150/1,Bet 365,Further details
Henrik Norlander,-,37,MC,MC,-,MC,-,13,MC,40,MC,16,-,65,-,-,-,-,-,45,MC,67,MC,MC,175/1,Bet 365,Further details
Patrick Fishburn,-,6,MC,MC,-,MC,-,MC,48,54,MC,28,-,-,-,-,-,-,-,-,-,-,-,MC,150/1,Bet 365,Further details
Keith Mitchell,-,30,21,-,33,25,-,-,42,-,MC,54,-,-,-,-,-,-,6,-,MC,41,9,MC,55/1,Bet 365,Further details
David Lipsky,-,45,MC,WD,-,MC,-,76,MC,78,MC,57,-,-,-,-,-,-,-,-,-,MC,22,MC,750/1,Bet 365,Further details
Doug Ghim,-,72,21,MC,68,49,-,-,11,-,MC,57,-,-,-,-,-,-,-,MC,-,-,-,MC,110/1,Bet 365,Further details
Luke List,-,72,MC,56,-,36,-,MC,MC,-,MC,64,-,MC,-,-,27,3,24,28,MC,11,57,MC,300/1,Bet 365,Further details
Rafael Campos,57,MC,MC,MC,-,MC,-,34,MC,MC,MC,70,-,-,-,-,38,7,-,59,-,-,-,MC,2500/1,Bet 365,Further details
Kristoffer Ventura,-,-,58,4,-,49,-,25,56,-,MC,77,-,-,-,-,-,-,-,MC,64,-,-,MC,350/1,Bet 365,Further details
Patton Kizzire,40,MC,MC,-,-,MC,-,MC,MC,-,MC,-,-,-,-,-,MC,MC,-,MC,11,-,-,MC,450/1,Bet 365,Further details
Vincent Whaley,-,72,64,32,-,MC,-,MC,32,16,MC,MC,-,-,-,-,-,-,-,-,-,15,-,MC,250/1,Bet 365,Further details
