Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Andrew Landry,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,55,3,64,WD,61,6000,Further details,2500/1,Bet 365,Further details
Tracy Vest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,TBC,Bet 365,Further details
Cole Sherwood,-,-,-,-,-,-,-,-,MC^,46^,-,18^,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,TBC,Bet 365,Further details
Anders Albertson,-,-,-,-,63,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,79,-,-,-,6000,Further details,1000/1,Bet 365,Further details
Camilo Villegas,35,-,-,MC,-,MC,MC,MC,-,-,-,MC,-,58,71,45,MC,MC,19,-,-,41,MC,-,6000,Further details,600/1,Bet 365,Further details
Josh Teater,-,MC,MC^^,MC,MC,-,MC^,MC,MC^,-,-,MC,-,36,-,MC,28,-,-,-,67,MC,-,-,6000,Further details,1000/1,Bet 365,Further details
Kevin Kisner,-,68,MC^^,MC,MC,-,65,MC,-,-,-,MC,-,MC,-,20,35,-,44,-,-,-,-,-,6000,Further details,1500/1,Bet 365,Further details
Nick Watney,-,MC,11^^,MC,MC,-,-,-,-,-,-,-,-,13,27,-,-,-,MC,60,6,50,MC,MC,6000,Further details,4000/1,Bet 365,Further details
Benjamin Taylor,-,-,37^^,MC,MC,-,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,MC,6000,Further details,2500/1,Bet 365,Further details
Brandt Snedeker,-,-,40^^,48,MC,-,MC,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6000,Further details,1500/1,Bet 365,Further details
MJ Daffue,-,MC,MC^^,-,-,MC^,MC^,MC^,-,MC^,MC^,56^,-,-,-,-,-,-,-,-,-,-,-,35,-,Further details,TBC,Bet 365,Further details
Cody Gribble,-,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,34,MC,-,-,42,-,Further details,TBC,Bet 365,Further details
Jimmy Walker,-,50,-,MC,-,MC,MC,-,-,-,-,MC,-,30,-,-,-,-,-,-,-,-,-,42,-,Further details,TBC,Bet 365,Further details
Russell Knox,-,MC,19^^,-,MC,46^,64^,19^,-,-,MC^,26^,-,MC,MC,-,-,-,-,-,-,-,-,57,-,Further details,TBC,Bet 365,Further details
Jim Herman,-,MC,-,-,-,-,-,-,-,MC,-,-,-,-,10,MC,MC,-,-,-,MC,28,-,63,-,Further details,TBC,Bet 365,Further details
Marty Dou Zecheng,-,50,MC^^,MC,46,10^,48^,38^,MC^,54^,31^,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,Further details,TBC,Bet 365,Further details
Sunghoon Kang,-,MC,-,41,-,MC^,MC^,-,-,MC,-,-,-,MC,-,-,-,14,-,MC,-,MC,MC,MC,-,Further details,TBC,Bet 365,Further details
William McGirt,-,43,-,-,63,-,32^,MC^,MC^,-,-,-,-,MC,MC,23,41,-,71,MC,-,-,MC,MC,-,Further details,TBC,Bet 365,Further details
