Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Brandt Snedeker,MC,MC,-,MC,MC,72,-,-,40^^,48,MC,-,-,-,45,2,17,48,42,19,-,50,57,-,5000,Further details,1000/1,Bet 365,Further details
Tom Whitney,MC,61,-,33,MC,75,-,63,MC^^,66,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,750/1,Bet 365,Further details
Benjamin Taylor,MC,-,MC,MC,MC,MC,-,-,37^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,5000,Further details,2500/1,Bet 365,Further details
Kevin Kisner,MC,MC,-,MC,MC,72,-,68,MC^^,MC,MC,-,-,-,88,5,10,1,52,MC,29,40,MC,MC,5000,Further details,1000/1,Bet 365,Further details
Rory Sabbatini,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,88,10,-,MC,20,6,14,67,52,MC,5000,Further details,2500/1,Bet 365,Further details
Jimmy Walker,-,-,-,-,MC,MC,-,50,-,MC,-,MC,-,-,10,65,29,-,20,19,MC,MC,-,40,5000,Further details,750/1,Bet 365,Further details
Michael Block,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5000,Further details,2500/1,Bet 365,Further details
Thorbjorn Olesen,MC,-,-,MC,MC,14,58,-,36^^,MC,16,53,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Patton Kizzire,MC,MC,-,-,MC,WD^,-,23,28^^,24,10,-,-,-,-,-,MC,63,64,MC,MC,3,MC,48,-,Further details,TBC,Bet 365,Further details
Jacob Bridgeman,28,23,-,MC,21,MC,-,23,19^^,MC,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Joe Highsmith,MC,6,-,MC,21,51,-,MC,MC^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Patrick Fishburn,MC,42,-,MC,MC,MC,-,23,4^^,MC,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Paul Barjon,MC,MC,-,MC,MC,MC,-,MC,4^^,MC,54,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,Further details,TBC,Bet 365,Further details
Ryan Brehm,MC,55,-,72,53,MC,-,MC,3^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,Further details,TBC,Bet 365,Further details
Henrik Norlander,-,15,-,-,MC,MC^,-,36,19^^,64,20,-,-,73,-,-,-,-,-,-,MC,50,-,MC,-,Further details,TBC,Bet 365,Further details
Vincent Whaley,-,18,-,54,MC,69,-,23,MC^^,41,-,4^,-,-,-,-,-,-,-,-,-,20,MC,-,-,Further details,TBC,Bet 365,Further details
Ryan McCormick,-,58,-,MC,MC,82,-,MC,MC^^,41,4,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
