Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Rafael Campos,-,MC,MC,-,-,-,MC,MC,MC,MC,MC,30,-,-,-,-,-,-,-,-,-,74,-,-,6100,Further details,600/1,Bet 365,Further details
Ryan Brehm,-,-,MC,-,-,-,MC,MC,MC,56,MC,-,-,-,-,-,-,50,-,-,31,MC,MC,22,6100,Further details,1000/1,Bet 365,Further details
Brandt Snedeker,-,MC,MC,MC,-,-,MC,MC,53,MC,MC,-,-,MC,5,43,3,-,1,39,42,MC,-,45,6100,Further details,750/1,Bet 365,Further details
Vincent Norrman,MC,70,65,43,-,-,MC,-,WD,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,58,6100,Further details,400/1,Bet 365,Further details
Ryan McCormick,MC^,-,MC,51^,-,-,31,MC,31,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details
Tom Whitney,-,MC,MC,-,-,-,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,750/1,Bet 365,Further details
Wilson Furr,-,-,MC,-,31^,-,MC,72,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,600/1,Bet 365,Further details
Callum Tarren,-,70,MC,-,-,-,57,MC,21,MC,MC,-,-,-,-,-,-,-,-,-,-,-,27,MC,6100,Further details,500/1,Bet 365,Further details
Peter Malnati,MC,37,-,33,MC,70,74,MC,-,65,MC,-,-,-,64,-,42,50,24,MC,20,MC,27,MC,6100,Further details,300/1,Bet 365,Further details
Tyson Alexander,-,MC,MC,-,-,-,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,Further details,1500/1,Bet 365,Further details
Cooper Musselman,-,-,-,-,-,-,-,-,31,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,TBC,Bet 365,Further details
Camilo Villegas,MC,MC,MC,-,-,-,MC,MC,MC,MC,-,57,-,29,1,26,MC,16,-,-,-,46,MC,-,6000,Further details,1000/1,Bet 365,Further details
Jim Herman,-,-,-,-,MC,-,-,-,MC,-,-,-,-,11,MC,18,-,-,-,-,1,MC,MC,71,6000,Further details,1500/1,Bet 365,Further details
Bill Haas,-,-,-,6^,MC^,-,-,52,64,MC,MC,-,-,20,2,6,22,75,45,53,MC,MC,MC,-,6000,Further details,750/1,Bet 365,Further details
