Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Chesson Hadley,-,-,-,-,MC,MC,-,MC,23,MC,29,-,-,-,-,MC,24,MC,-,11,MC,-,63,6100,500/1,Bet 365,Further details,44
Matthias Schwab,-,-,-,-,MC,26,-,MC,MC,50,60,-,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,54
Kevin Tway,-,-,-,-,54,54,18,MC,32,40,63,-,-,-,-,-,-,-,-,46,MC,-,MC,6100,600/1,Bet 365,Further details,MC
Peter Malnati,-,-,-,-,MC,MC,20,4,MC,20,MC,MC,-,-,-,-,-,MC,MC,-,-,MC,46,6100,600/1,Bet 365,Further details,MC
Tyson Alexander,-,-,-,-,31,MC,MC,48,-,-,78,MC,-,-,-,-,-,-,-,-,-,-,-,6100,1500/1,Bet 365,Further details,MC
Chez Reavie,-,-,-,35,41,MC,-,-,MC,MC,-,MC,-,MC,-,-,-,MC,56,30,MC,MC,MC,6100,750/1,Bet 365,Further details,MC
Lucas Glover,-,-,-,-,MC,MC,-,MC,39,MC,-,MC,-,MC,MC,MC,-,-,6,72,MC,48,MC,6100,600/1,Bet 365,Further details,51
Max McGreevy,-,-,-,-,MC,MC,-,MC,MC,MC,MC,33,-,-,-,-,-,-,-,-,-,-,-,6000,2000/1,Bet 365,Further details,MC
Martin Laird,-,-,-,-,-,62,MC,-,MC,MC,-,39,-,2,5,MC,-,MC,MC,57,MC,69,MC,6000,250/1,Bet 365,Further details,MC
Nick Watney,-,-,-,-,-,MC,MC,MC,MC,MC,-,57,-,56,MC,MC,MC,-,-,37,MC,-,66,6000,1500/1,Bet 365,Further details,MC
Kramer Hickok,-,-,-,-,MC,MC,-,-,MC,29,14,-,-,-,-,-,-,-,-,-,-,58,42,6000,300/1,Bet 365,Further details,44
Austin Smotherman,-,-,-,-,67,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1250/1,Bet 365,Further details,35
Chad Ramey,-,-,-,38,54,-,-,70,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,2000/1,Bet 365,Further details,27
